registry_id,legal_underwriter,insurer_group,brand_or_program,distribution_type,product_scope,distinct_rate_source_id,signals_agreeing,dedup_hypothesis_with,quote_url,public_phone_route,licensed_intermediary,requirements,automation_notes,status,reason_code,source_url,last_verified_at,evidence_artifact,rate_filing_delta,underwriter_disclosed,quote_id_grammar,form_set_hash,premium_at_benchmark,regulatory_amalgamation,appendix_group,appendix_legal_name,requires_current_validation,is_synthetic
reg_0001,Sonnet Insurance Company,Definity Financial,Sonnet,direct,standard_PPA,rs_0001,0,,https://www.sonnet.ca/auto-insurance/ontario,,,licence_number,"Journey order: Province -> Get started -> Vehicles -> Driver details -> Other drivers -> Assign drivers. Address-validation modal on the Vehicles step ('Heads up! ... mixed use residence', Cancel/Okay) — a naive executor hangs on it. Fraud-acknowledgement checkbox tied to address accuracy on the same step. Driver's licence number mandatory and case sensitive at Driver details -> Your Information. | UNVERIFIED GUIDANCE from the Appendix A discovery seed (2026-08-06): Definity/Economical broker; Sonnet direct",blocked,licence_number_required_hypothetical_profile,https://www.sonnet.ca/auto-insurance/ontario,2026-08-09T00:00:00+00:00,cid:sha256-14216cc8eb1d6e18dc6d6d39a81444dee7a020384168899028216ad275fb72fd,,Sonnet Insurance Company,,,,,Definity,Sonnet Insurance Company,False,False
reg_0002,Belair Insurance Company Inc.,Intact Financial,belairdirect,direct,standard_PPA,rs_0002,0,,https://www.belairdirect.com/en/car-insurance/ontario.html,,,,"D-URLS retry, 2026-08-12: https://www.belairdirect.com/en/car-insurance.html, 3 steps, 0 fields filled, stopped with no actionable control detected. The executor's link/button matching did not locate a quote-entry control on this page layout — a capability limitation of this build's ontology matching, not an observed market signal. 3 evidence artifacts captured. | UNVERIFIED GUIDANCE from the Appendix A discovery seed (2026-08-06): belairdirect direct; Intact and Jevco broker; validate legacy/affinity entities",unresolved,,https://www.belairdirect.com/en/car-insurance/ontario.html,2026-08-12T00:00:00+00:00,,,Belair Insurance Company Inc.,,,,,Intact,Belair Insurance Company Inc.,False,False
reg_0003,RBC Insurance Company of Canada,Royal Bank of Canada,RBC Insurance,direct,standard_PPA,rs_0003,0,,https://www.rbcinsurance.com/en-ca/auto-car-insurance/ontario-car-insurance/,,,,"D-URLS retry, 2026-08-12: https://www.rbcinsurance.com/auto-insurance/, 1 step, a ""Privacy & Security"" modal was encountered and logged (not dismissed — no matching dismiss-text button found), then no actionable control detected. 1 evidence artifact captured.",unresolved,,https://www.rbcinsurance.com/en-ca/auto-car-insurance/ontario-car-insurance/,2026-08-12T00:00:00+00:00,,,,,,,,,,False,False
reg_0004,Certas Home and Auto Insurance Company,Desjardins Group,Desjardins Insurance,agent,standard_PPA,rs_0004,0,,https://www.desjardins.com/en/insurance/auto.html,,,,"D-URLS retry, 2026-08-12: https://www.desjardins.com/ca/personal/insurance/car/, 12 steps, 7 fields filled, did not reach a terminal state within the step budget. 12 evidence artifacts captured — the deepest real-route run in this build. | UNVERIFIED GUIDANCE from the Appendix A discovery seed (2026-08-06): Desjardins web/agent; The Personal affinity",unresolved,,https://www.desjardins.com/en/insurance/auto.html,2026-08-12T00:00:00+00:00,,,,,,,,Desjardins,Certas Home and Auto Insurance Company,False,False
reg_0005,unknown — requires regulator evidence (OQ-003),unknown,Onlia,broker,standard_PPA,rs_0005,0,,https://www.onlia.ca/,,RIBO-licensed brokerage per public sources; regulator evidence pending,,,reconnaissance_pending,,https://www.onlia.ca/,2026-08-12T00:00:00+00:00,,,,,,,,,,False,False
reg_0006,unknown — not yet verified,TD Bank Group,TD Insurance,direct,standard_PPA,rs_0006,0,,,,,membership_or_group,Large share of Ontario volume is affinity/group; expect RC_MEMBERSHIP.,reconnaissance_pending,,https://www.tdinsurance.com/,2026-08-12T00:00:00+00:00,,,,,,,,,,False,False
reg_0007,CAA Insurance Company,CAA Club Group,CAA Insurance,affinity,standard_PPA,rs_0007,0,,,,,membership,UNVERIFIED GUIDANCE from the Appendix A discovery seed (2026-08-06): CAA direct/broker; Echelon broker and non-standard,reconnaissance_pending,,https://www.caainsurancecompany.com/,2026-08-12T00:00:00+00:00,,,,,,,,CAA,CAA Insurance Company,False,False
reg_0010,Intact Insurance Company,Intact Financial,Intact Insurance,broker,standard_PPA,rs_0008,0,,,,,,UNVERIFIED GUIDANCE from the Appendix A discovery seed (2026-08-06): belairdirect direct; Intact and Jevco broker; validate legacy/affinity entities,reconnaissance_pending,,https://www.intact.ca/,2026-08-12T00:00:00+00:00,,,Intact Insurance Company,,,,,Intact,Intact Insurance Company,False,False
reg_0011,Jevco Insurance Company,Intact Financial,Jevco,broker,nonstandard_PPA,rs_0009,0,,,,,,UNVERIFIED GUIDANCE from the Appendix A discovery seed (2026-08-06): belairdirect direct; Intact and Jevco broker; validate legacy/affinity entities,reconnaissance_pending,,https://www.jevco.ca/,2026-08-12T00:00:00+00:00,,,Jevco Insurance Company,,,,,Intact,Jevco Insurance Company,False,False
reg_0020,Aviva Insurance Company of Canada,Aviva Canada,Aviva Insurance,broker,standard_PPA,rs_0010,2,,,,,,"Pilot, Elite and Traders General amalgamated into Aviva Insurance Company of Canada, effective 2026-01-01. Source: https://www.avivacanada.com/ | UNVERIFIED GUIDANCE from the Appendix A discovery seed (2026-08-06): Direct, RBC, broker and program routes; deduplicate and validate legacy entities",reconnaissance_pending,,https://www.avivacanada.com/,2026-08-12T00:00:00+00:00,,,Aviva Insurance Company of Canada,,,,aviva_canada_2026_01_01,Aviva,Aviva Insurance Company of Canada,False,False
